kanji,pc1_loading,pc2_loading
道,0.010813186799118113,0.014271423367097523
無,-0.003917555494507391,0.0007755923290331011
宇,-0.008501236687210173,-0.004878616489606823
有,-0.006685436929834538,-0.0052895504823907485
磯,-0.008057196705040872,-0.0026287048635066255
渕,0.021503412208453154,0.018328091487618305
植,0.013275548666172896,0.0063220461052045955
在,0.007146429347626868,0.018540040968330534
館,0.00749627811061042,0.02443182706458534
切,0.05121253881017158,-0.0005255172338371778
円,0.007512258096208612,0.015995256108275197
湊,-0.004760981081860411,0.006037460029652039
湯,0.004870778126566571,0.025840624582482468
柏,-0.0037627351651918876,-0.00071442397136935
樫,0.01976077041550596,0.005282094683068395
社,-0.0017315807054631752,-0.004021084828045608
祢,-0.0032259836756011262,-0.0046930968640212555
鼻,0.009520163943389509,0.01608741732641218
辻,0.010788635540403796,0.008035957426928536
留,-0.0052692302343614736,-0.0015193738073775102
通,-0.002537140297944392,-0.019181372239629138
磐,0.0017410007088481461,0.009881265088707859
淀,-0.007645219536404838,-0.004402549104469621
吹,-0.0034544317694468686,0.0007395532671068464
荘,0.00468159748749807,0.01641647160329664
溝,0.024897989255786065,-0.017209447020335073
馬,0.015114587042938362,0.03382244763558836
條,-0.004073891319332834,-0.0031843332068107397
開,0.0012146565987101628,-0.004362122142039293
向,0.01164724331170812,0.014628611319782062
後,0.0074743121358206805,0.011957148997943576
倭,-0.007097961172073131,-0.004890024032042205
横,-0.0003039727969628201,0.0044544303619706025
輪,0.0054504657376785864,0.010652042221142502
形,0.00014575752222834346,0.003381684976215567
区,0.001290645818279103,-0.001985581188671012
楽,0.0025435986546167542,0.004041790051389266
飯,0.0007953233915806797,0.015066476585109572
桶,0.0014707789703232975,-0.005770997215630189
猿,0.0009965594670961404,0.0031691927846542525
落,0.015590962923949885,0.015166041184488428
梶,-0.004194952284680847,-0.007663088536926669
作,0.009095281147949488,0.010290013604409093
引,0.022760458137352838,0.04602402447238966
月,-0.008270072540948975,-0.0019116397601186181
栃,-0.0037794580386188333,-0.0022230156025486022
蓮,-0.00242216863965131,-0.006269982750949013
