kanji,pc1_loading,pc2_loading
御,-0.007954082813204377,-0.035674537952499905
鶴,-0.004158338526329141,0.017955033073869756
春,-0.02498203815755664,-0.0012725019308503086
向,-0.016558714003473952,-0.035173833021451044
之,-0.03862461444568068,0.0015696258701131225
立,-0.016481497081724368,-0.015649437517924584
熊,-0.026187500487648716,-0.016890324662939462
林,-0.009894471022643984,-0.037816841647449174
辺,0.028595758857713646,-0.00011823114963752374
秋,0.00012690450565664191,-0.031826637979810675
太,0.09336029722955452,-0.004436088815137405
飯,0.016005234495549043,-0.03159744321172718
鳥,0.00019387563952218045,-0.01206437161642697
潟,-0.004310761795574984,-0.009693127132417068
柳,0.00661133559035451,-0.02914363976708373
赤,-0.008078433994536418,-0.008947078075935845
府,-0.01550741091546737,0.0101664302538009
門,0.007366150710267658,-0.022223629535608032
矢,0.06992929812574758,-0.018327239777726264
出,-0.015832153108992195,-0.01517978895282126
今,-0.02272860770021107,-0.03654736910060185
会,-0.005884157276448229,-0.0028704931868155253
奥,-0.0016551630433116634,-0.019376424917704735
阜,0.010072379732222692,0.0014326465886816521
治,-0.010878112633038735,-0.02169531028088894
丸,-0.009970689930822067,-0.04401264608899284
喜,-0.003549597099378479,-0.013069562471262935
荒,-0.002973480239822374,-0.02441939148462788
元,-0.039780908511904356,0.018585996890674687
標,-0.01009630744499668,0.06284603190269797
第,0.5059290072197387,0.03758870084049232
取,-0.008760390465771624,-0.010716340286862299
線,0.07594573174553236,0.2764886144387341
塩,-0.006888538305315337,0.045856242636480894
館,0.0022275168052019283,-0.024206024269487886
園,-0.060346295983726414,0.049029006546352547
志,-0.013664007730160396,0.005061254914679703
緑,-0.04803108335650111,0.03470642850121306
桜,-0.025387077553581317,-0.039360904654610014
玉,-0.006305043544026279,-0.021610748947259315
能,-0.012565230318538378,0.007298749303411015
常,-0.0018779612289427765,0.007852455922480149
亀,-0.009177628785685312,-0.02795477036527171
堂,0.0062602428424075015,-0.10249143894476691
光,-0.028426805946038285,-0.007575794815773869
栄,-0.02717134278781898,0.04699860982788893
湯,0.009924831084534853,-0.011482589184896265
刈,0.021513730317324203,-0.020389836147172213
幸,-0.017665378678690623,0.049968679137218044
徳,-0.0031644457334412505,-0.012405099804064602
堀,-0.010960712711899637,-0.0638477762480874
茂,0.007978187536077435,0.01639005071127069
竹,-0.009563457429105998,-0.022485311434729684
後,0.01241437622864184,-0.02497983535355851
朝,-0.01830226130312919,-0.01712116773353694
深,-0.02239519800124144,0.004620487890531101
角,0.006818875586220367,-0.03250656722273302
渡,0.030274455351663565,-0.02048500731605713
柴,0.0014170633119733927,-0.022985143966289822
那,0.04247637045232342,-0.017041190302525724
王,-0.03570452700233927,-0.020412297661226438
草,-0.014869107246074455,0.01454814376973992
蒲,-0.013987575658815627,-0.019993610199070783
士,-0.0006586250333064597,0.1501762056123898
愛,-0.020283109910491218,0.015022659099033558
来,-0.00612417922162786,0.0031365675181647566
尻,-0.015881669276897513,-0.012414966262498819
帯,-0.008291166581782597,0.07506471327471069
合,-0.024644550629339814,0.00784772315955687
成,-0.014387918605138234,-0.00605407619411705
紫,0.09839035309391628,-0.013104950424532032
栗,0.009883021236860709,-0.02202224911953468
利,-0.0018555415060452485,-0.0029475132686853436
所,0.005054703887396088,-0.0312464989495281
垣,0.008493029789513253,-0.009543367080249165
室,-0.004643541680071085,0.043782060248110696
砂,-0.02216696277600992,0.04044172504229121
滝,0.02552796153318385,0.015086303799504305
分,-0.03159242516203858,-0.01366158762084786
宿,-0.005235854270227315,-0.028960650041605532
楽,-0.012054596104876905,-0.009626950848866127
堺,-0.03391099524153407,-0.0025147321863093508
永,-0.03185111173505745,-0.015932018845700068
港,-0.020315201233843474,0.015120610248176923
麻,-0.009281435945626354,0.01518718257462259
庄,-0.013714586155541136,-0.02340912047391304
桑,0.0023667574208360146,-0.028832423639060984
双,-0.016366422041521462,0.003159442999484745
足,-0.0017415281240332682,0.03616897896148057
住,-0.0005368855880784787,-0.0009694582837505714
甲,-0.009696731412643867,-0.004490829754495082
入,-0.011581235384272639,-0.033629483633947736
穂,-0.010747416936914068,0.010562885744067432
牧,-0.02610239285774117,-0.024334084931532742
宝,-0.00503477590516916,-0.00494677801422007
岸,0.006343229705567353,0.07491889966494507
蔵,-0.0047481918063073374,-0.028736846586545316
柏,-0.008014354879774265,-0.010906537383224873
